Date,Day of the Week,Amount,Description,Category ,Method of Payment
01/20/23,friday,12.65,chick fil-a meal,Food,Cash
1/21/23,Saturday,65,jeans,Entertainment and Recreation,Debit
1/21/23,Saturday,65,gas,Travel,Cash
1/21/23,Saturday,8.78,chick fil-a meal,Food,Cash
1/22/23,Sunday,$65.00,gas ,Travel,Debit
1/22/23,Sunday,6,taco bell,Food,Cash
1/22/23,Sunday,90,target,Housing,Cash
1/26/23,Thursday,100,doordash,income,Debit
1/26/23,Thursday,25,cvs,Entertainment and Recreation,Cash
1/26/23,Thursday,14.5,chick fil-a meal,Food,Cash
1/28/23,Saturday,60,gas,Travel,Cash
1/28/23,Saturday,18,dutch bros,Food,Cash
1/31/23,Monday,9.99,apple care,Bills,Cash
02/01/23,Wednesday,129.98,phone bill,Bills,Debit
